,id,contaminant,average_result,max_result,health_limit_exceeded,legal_limit_exceeded,zipcode,locations_served,supplier_name,violation,date_of_violation,number_of_people_served,health_limit_flag,legal_limit_flag
114,4565,Nitrate,6.85 ppm,9.92 ppm,10 ppm,10 ppm,45214,"HARRISON, OH",Red Wood Mobile Home Par,"Maximum contaminant level, Monthly (Coliform bacteria)",2006/10/01 - 2006/10/31,120,No,No
115,4627,Total trihalomethanes (TTHMs),33.65 ppb,86.36 ppb,9.8 ppb,80 ppb,15480,"MASONTOWN, PA",Masontown Muni Water Works,Monitoring and Reporting Disinfection Byproduct RuleChlorine,2005/10/01 - 2005/12/31,3700,Yes,Yes
116,4654,Barium (total),11 ppb,11 ppb,700 ppb,2000 ppb,44818,"TIFFIN, OH",Brook Park Estates Mhp,Inadequate reporting of information to the public,2005/07/01 - 2007/07/09,90,No,No
117,4665,Dichloroacetic acid,1.39 ppb,2.29 ppb,. Source,60 ppb,50648,"JESUP, IA",Jesup Municipal Water Supply,Failure to monitor regularlyTotal trihalomethanes (TTHMs),2004/08/01 - 2004/08/31,2212,Yes,No
118,4671,Lead (total),2.99 ppb,14.75 ppb,. Source,,50648,"INDEPENDENCE, IA",Pints Water Association,"Maximum contaminant level, Monthly (Coliform bacteria)",2008/08/01 - 2008/08/31,87,Yes,No
119,4679,Bromoform,1.78 ppb,1.85 ppb,. Source,80 ppb,52736,"CAMANCHE, IA",Camanche Water Supply,Failure to monitor regularlyNitrate,2007/04/01 - 2007/06/30,4215,Yes,No
120,4680,Total trihalomethanes (TTHMs),52.45 ppb,112 ppb,9.8 ppb,80 ppb,52736,"WHEATLAND, IA",Wheatland City Water Supply,Failure to monitor regularlyNitrate,2005/10/01 - 2006/09/30,770,Yes,Yes
121,4698,Total haloacetic acids (HAAs),41.22 ppb,77.2 ppb,0.7 ppb,60 ppb,62215,"CARLYLE, IL","Carlyle North Water Company, Inc.",Other Non-National Primary Drinking Water Regulations Potential Health Risks,2005/07/09 - 2005/10/26,1940,Yes,Yes
122,4705,Total haloacetic acids (HAAs),43.15 ppb,90.53 ppb,0.7 ppb,60 ppb,62215,"ALBERS, IL",Albers,Optimal Corrosion Control Treatment Installation/Demonstration,2006/07/01 - 2006/09/19,1096,Yes,Yes
123,4708,Manganese,60.93 ppb,160 ppb,50 ppb,50 ppb,62215,"BARTELSO, IL",Bartelso,"Failure to monitor, Routine Major (Coliform bacteria)",2008/05/01 - 2008/05/31,598,Yes,Yes
124,4829,Total haloacetic acids (HAAs),61 ppb,126 ppb,0.7 ppb,60 ppb,33831,"EAGLE LAKE, FL",City of Eagle Lake,"Over maximum contaminant level, AverageTotal haloacetic acids (HAAs)",2007/07/01 - 2007/09/30,2533,Yes,Yes
125,4734,Bromodichloromethane,1.57 ppb,3.7 ppb,. Source,80 ppb,55313,"HOWARD LAKE, MN",Howard Lake,Monitoring and Reporting Disinfection Byproduct RuleChlorine,2008/05/01 - 2008/07/31,1853,Yes,No
126,4744,Total haloacetic acids (HAAs),13.89 ppb,20.1 ppb,0.7 ppb,60 ppb,40253,"LOUISVILLE, KY",Louisville Water Company,"Failure to monitor, Repeat Minor (Coliform bacteria)",2004/06/01 - 2004/06/30,836926,Yes,No
127,4745,Lead (total),0.13 ppb,0.4 ppb,. Source,,40253,"ERLANGER, KY",Ashley Point Mobile Home Park,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2007/03/22,750,Yes,No
128,4746,Manganese,248.28 ppb,420 ppb,50 ppb,50 ppb,40253,"PROSPECT, KY",Wallace Farm,Initial Tap Sampling for Lead and Copper,2008/07/01 - 2025/12/31,50,Yes,Yes
129,4760,Arsenic (total),2.74 ppb,7 ppb,. Source,10 ppb,45871,"NEW KNOXVILLE, OH",The Way International,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2004/09/07,500,Yes,No
130,4813,Total trihalomethanes (TTHMs),62.66 ppb,93 ppb,9.8 ppb,80 ppb,33831,"HAINES CITY, FL",City of Haines City,"Maximum contaminant level, Monthly (Coliform bacteria)",2005/01/01 - 2005/01/31,25020,Yes,Yes
131,4816,Total haloacetic acids (HAAs),31 ppb,71.16 ppb,0.7 ppb,60 ppb,33831,"WINTER HAVEN, FL",Central,Follow-up and Routine Tap Sampling,2005/01/01 - 2025/12/31,10565,Yes,Yes
132,4832,Total haloacetic acids (HAAs),3.29 ppb,5.2 ppb,0.7 ppb,60 ppb,33831,"POLK CITY, FL",Polk City System,"Failure to monitor, Repeat Major (Coliform bacteria)",2005/11/01 - 2005/11/30,2269,Yes,No
133,4845,Radium-226,0.65 pCi/L,1.2 pCi/L,. Source,5 pCi,33831,"LAKE WALES, FL",Waverly Water System Pws,"Maximum contaminant level, Monthly (Coliform bacteria)",2008/10/01 - 2008/10/31,1326,Yes,No
134,4881,Total trihalomethanes (TTHMs),40.54 ppb,112.73 ppb,9.8 ppb,80 ppb,33831,"DAVENPORT, FL",Sunlake Terrace Estates,"Failure to monitor, Routine Major (Coliform bacteria)",2006/08/01 - 2006/08/31,350,Yes,Yes
135,4895,Total haloacetic acids (HAAs),9.75 ppb,39 ppb,0.7 ppb,60 ppb,33831,"ALTURAS, FL",Alturas Utilities,Failure to monitor regularlyNitrate,2007/01/01 - 2007/12/31,245,Yes,No
136,4939,Total trihalomethanes (TTHMs),22.6 ppb,36.3 ppb,9.8 ppb,80 ppb,33831,"WINTER HAVEN, FL",Arrow Lee Apartment,Inadequate reporting of information to the public,2004/08/11 - 2025/12/31,70,Yes,No
137,4920,Total haloacetic acids (HAAs),7.98 ppb,20.3 ppb,0.7 ppb,60 ppb,33831,"LAKELAND, FL",Ten Rocks Mhp,Failure to monitor regularlyNitrate,2004/01/01 - 2004/12/31,108,Yes,No
138,4923,Total trihalomethanes (TTHMs),42.13 ppb,95.6 ppb,9.8 ppb,80 ppb,33831,"FORT MEADE, FL",Hammock Lake Mobile Home Park,Follow-up and Routine Tap Sampling,2006/01/01 - 2007/10/23,100,Yes,Yes
139,4925,Total haloacetic acids (HAAs),10.72 ppb,16.9 ppb,0.7 ppb,60 ppb,33831,"FROSTPROOF, FL",Shepherd S/D,Follow-up and Routine Tap Sampling,2006/01/01 - 2025/12/31,100,Yes,No
140,4927,Total haloacetic acids (HAAs),2.19 ppb,3.2 ppb,0.7 ppb,60 ppb,33831,"HAINES CITY, FL",Keen Mobile Home Subdivision,Follow-up and Routine Tap Sampling,2005/01/01 - 2025/12/31,100,Yes,No
141,4937,Alpha particle activity (excl radon and uranium),2.53 pCi/L,6 pCi/L,. Source,15 pCi,33831,"FROSTPROOF, FL",Lake Front Trailer Park,Follow-up and Routine Tap Sampling,2007/01/01 - 2025/12/31,70,Yes,No
142,4942,Radium-226,1.28 pCi/L,2.6 pCi/L,. Source,5 pCi,33831,"DAVENPORT, FL",Oak Haven Mobile Home Park,"Failure to monitor, Routine Major (Coliform bacteria)",2004/08/01 - 2004/08/31,62,Yes,No
143,4955,Radium-226,2.09 pCi/L,8.1 pCi/L,. Source,5 pCi,33831,"HIGHLAND CITY, FL",Highland Pines Mobile Home Pk,Follow-up and Routine Tap Sampling,2004/06/01 - 2025/12/31,36,Yes,Yes
144,4960,Alpha particle activity (excl radon and uranium),1.27 pCi/L,3 pCi/L,. Source,15 pCi,33831,"FROSTPROOF, FL",Pleasant View Mhp,Follow-up and Routine Tap Sampling,2007/01/01 - 2025/12/31,30,Yes,No
145,4999,Total trihalomethanes (TTHMs),96.2 ppb,204 ppb,9.8 ppb,80 ppb,79561,"LAWN, TX",City of Lawn,"Over maximum contaminant level, AverageTotal haloacetic acids (HAAs)",2004/10/01 - 2004/12/31,900,Yes,Yes
146,5014,Nitrate,0.14 ppm,0.28 ppm,10 ppm,10 ppm,52772,"LISBON, IA",Yankee Grove Development,"Maximum contaminant level, Monthly (Coliform bacteria)",2006/07/01 - 2006/07/31,64,No,No
147,5020,Total trihalomethanes (TTHMs),44.38 ppb,105.83 ppb,9.8 ppb,80 ppb,19027,"POTTSTOWN, PA",Pottstown Borough Water Auth,"Treatment Technique Precursor RemovalCarbon, Total-Organic",2007/01/01 - 2007/03/31,36000,Yes,Yes
148,5024,Trichloroethylene,0.12 ppb,0.9 ppb,. Source,5 ppb,19027,"LOWER PROVIDENC, PA",Audubon Water Company,Failure to report information to the public or state agency in the Consumer Confidence Report,2005/07/01 - 2006/02/13,8800,Yes,No
149,5032,Tetrachloroethylene,0.43 ppb,0.93 ppb,. Source,5 ppb,19027,"GRATERFORD, PA",S C I Graterford,Failure to report information to the public or state agency in the Consumer Confidence Report,2007/07/01 - 2007/12/20,3000,Yes,No
150,5060,Lead (total),1.75 ppb,4 ppb,. Source,,72055,"DEWITT, AR",Northeast Dewitt Water Assoc,Failure to report information to the public or state agency in the Consumer Confidence Report,2007/07/01 - 2007/11/07,631,Yes,No
151,5101,Dibromochloromethane,1.04 ppb,3.9 ppb,0.4 ppb,80 ppb,78573,"ALAMO, TX",City of Alamo,"Maximum contaminant level, Monthly (Coliform bacteria)",2007/09/01 - 2007/09/30,12810,Yes,No
152,5103,Aluminum,140 ppb,280 ppb,200 ppb,200 ppb,78573,"HIDALGO, TX",City of Hidalgo,"Failure to monitor, Routine Minor (Coliform bacteria)",2007/12/01 - 2007/12/31,6000,Yes,Yes
153,5109,Selenium (total),5.8 ppb,5.8 ppb,50 ppb,50 ppb,78573,"LA JOYA, TX",City of LA Joya,"Over maximum contaminant level, AverageTotal trihalomethanes (TTHMs)",2004/10/01 - 2004/12/31,2496,No,No
154,5107,Monochloroacetic acid,72.66 ppb,171.4 ppb,70 ppb,60 ppb,78573,"EDCOUCH, TX",City of Edcouch,"Over maximum contaminant level, AverageTotal trihalomethanes (TTHMs)",2006/07/01 - 2006/09/30,2874,Yes,Yes
155,5121,Total haloacetic acids (HAAs),2.74 ppb,8 ppb,0.7 ppb,60 ppb,19526,"READING, PA",Reading Area Water Auth,Treatment Technique (Surface Water Treatment Rule),2006/07/01 - 2006/07/31,87000,Yes,No
156,5128,Total trihalomethanes (TTHMs),3.68 ppb,13.6 ppb,9.8 ppb,80 ppb,19526,"KUTZTOWN, PA",Kutztown Borough Water,"Maximum contaminant level, Monthly (Coliform bacteria)",2005/07/01 - 2005/07/31,8600,Yes,No
157,5134,Total trihalomethanes (TTHMs),37.26 ppb,116 ppb,9.8 ppb,80 ppb,19526,"BIRDSBORO, PA",Birdsboro Muni Water Auth,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2004/10/25,5812,Yes,Yes
158,5140,Manganese,670 ppb,670 ppb,50 ppb,50 ppb,19526,"LEESPORT, PA",Leesport Boro Water Auth,Failure to monitor regularlyNitrate,2004/01/01 - 2004/12/31,2200,Yes,Yes
159,5142,Total trihalomethanes (TTHMs),7.88 ppb,18.5 ppb,9.8 ppb,80 ppb,19526,"TOPTON, PA",Topton Boro Water Supply,Inadequate reporting of information to the public,2004/10/01 - 2005/03/01,1958,Yes,No
160,5146,Total haloacetic acids (HAAs),1.1 ppb,1.1 ppb,0.7 ppb,60 ppb,19526,"BALLY, PA",Bally Muni Water Works,"Failure to monitor, Routine Minor (Coliform bacteria)",2004/08/01 - 2004/08/31,1061,Yes,No
161,5151,Nitrate,1.3 ppm,1.36 ppm,10 ppm,10 ppm,19526,"HEREFORD, PA",Hereford Est Mhp,Monitoring and Reporting Disinfection Byproduct RuleChlorine,2004/07/01 - 2004/09/30,710,No,No
162,5193,Total haloacetic acids (HAAs),13.88 ppb,81 ppb,0.7 ppb,60 ppb,19526,"WASHINGTON TWP, PA",Lenape Hills Trailer Park,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2005/05/13,44,Yes,Yes
163,5264,Lead (total),<0.01 ppb,<0.01 ppb,. Source,,63012,"CEDAR HILL, MO",Cedar Hill Lakes Village,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/04/01 - 2004/04/30,68,Yes,No
164,5302,Arsenic (total),10.33 ppb,15 ppb,. Source,10 ppb,98387,"FIFE, WA",Fife Dept of Public Works,Failure to monitor regularlyNitrate,2007/01/01 - 2007/12/31,6135,Yes,Yes
165,5306,Total haloacetic acids (HAAs),52.84 ppb,115.05 ppb,0.7 ppb,60 ppb,98387,"BUCKLEY, WA",Buckley Water,Failure to report information to the public or state agency in the Consumer Confidence Report,2007/07/01 - 2007/11/07,4535,Yes,Yes
166,5307,Manganese,44.44 ppb,110 ppb,50 ppb,50 ppb,98387,"TACOMA, WA",Artondale Water System,Failure to report information to the public or state agency in the Consumer Confidence Report,2007/07/01 - 2007/08/20,3593,Yes,Yes
167,5315,Lead (total),1.83 ppb,7 ppb,. Source,,98387,"GIG HARBOR, WA",Stroh S Water Company Inc,"Maximum contaminant level, Monthly (Coliform bacteria)",2006/01/01 - 2006/01/31,1921,Yes,No
168,5323,Copper,619 ppb,619 ppb,300 ppb,1000 ppb,98387,"TACOMA, WA",Western State Hospital,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/10/01 - 2004/10/31,1345,Yes,No
169,5326,Manganese,37.5 ppb,70 ppb,50 ppb,50 ppb,98387,"GIG HARBOR, WA",Quistorff,Failure to monitor regularlyDiquat,2005/01/01 - 2007/12/31,962,Yes,Yes
170,5330,Nitrate & nitrite,0.69 ppm,0.84 ppm,10 ppm,10 ppm,98387,"GIG HARBOR, WA",Lake Minterwood,"Maximum contaminant level, Monthly (Coliform bacteria)",2007/04/01 - 2007/04/30,858,No,No
171,5332,Arsenic (total),4.5 ppb,4.5 ppb,. Source,10 ppb,98387,"GIG HARBOR, WA",Washington State Corrections-Women,Failure to report information to the public or state agency in the Consumer Confidence Report,2007/07/01 - 2007/11/13,800,Yes,No
172,5333,Lead (total),1.21 ppb,5 ppb,. Source,,98387,"ANDERSON ISLAND, WA",Lake Josephine Riviera,"Failure to monitor, Routine Major (Coliform bacteria)",2007/07/01 - 2007/07/31,776,Yes,No
173,5341,Lead (total),0.52 ppb,1.56 ppb,. Source,,98387,"GIG HARBOR, WA",Raft Island Water System,"Maximum contaminant level, Monthly (Coliform bacteria)",2005/08/01 - 2005/08/31,543,Yes,No
174,5348,Total haloacetic acids (HAAs),67.06 ppb,129.9 ppb,0.7 ppb,60 ppb,98387,"BUCKLEY, WA",Rainier School,Failure to monitor regularlyNitrate,2007/01/01 - 2007/12/31,450,Yes,Yes
175,5351,Nitrate & nitrite,0.85 ppm,0.95 ppm,10 ppm,10 ppm,98387,"GIG HARBOR, WA",Olympic Sunset West,"Maximum contaminant level, Monthly (Coliform bacteria)",2008/09/01 - 2008/09/30,410,No,No
176,5359,Bromodichloromethane,0.77 ppb,1.1 ppb,. Source,80 ppb,98387,"TACOMA, WA",Winchester Mobile Homes Water,Failure to report information to the public or state agency in the Consumer Confidence Report,2008/07/01 - 2008/11/10,350,Yes,No
177,5366,Lead (total),0.19 ppb,0.75 ppb,. Source,,98387,"TACOMA, WA",Wollochet Heights Estates,Failure to report information to the public or state agency in the Consumer Confidence Report,2007/07/01 - 2007/08/20,273,Yes,No
178,5375,Arsenic (total),3 ppb,3 ppb,. Source,10 ppb,98387,"GIG HARBOR, WA",Jackson Lake South,"Maximum contaminant level, Monthly (Coliform bacteria)",2005/05/01 - 2005/05/31,207,Yes,No
179,5378,Chloroform,5.7 ppb,10.6 ppb,5.7 ppb,80 ppb,98387,"SEATTLE, WA",Cherrywood Mobile Home Manor,Failure to report information to the public or state agency in the Consumer Confidence Report,2006/07/01 - 2006/08/23,200,Yes,No
180,5382,Lead (total),2.5 ppb,5.5 ppb,. Source,,98387,"GIG HARBOR, WA",Harbor Country Apartments,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/11/01 - 2004/11/30,198,Yes,No
181,5464,Manganese,88 ppb,88 ppb,50 ppb,50 ppb,98387,"GIG HARBOR, WA",Mooreland Water Corp,Failure to monitor regularlyDiquat,2005/01/01 - 2007/12/31,68,Yes,Yes
182,5397,Copper,1145.63 ppb,1571.67 ppb,300 ppb,1000 ppb,98387,"SPANAWAY, WA",Spanaway 192nd Water System,Failure to monitor regularlyDiquat,2005/01/01 - 2007/12/31,171,Yes,Yes
183,5406,Arsenic (total),2 ppb,2 ppb,. Source,10 ppb,98387,"GIG HARBOR, WA",Foss Road,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/11/01 - 2004/11/30,146,Yes,No
184,5410,Nitrate & nitrite,1.27 ppm,1.4 ppm,10 ppm,10 ppm,98387,"TACOMA, WA",Shaws Cove,Failure to report information to the public or state agency in the Consumer Confidence Report,2007/07/01 - 2007/08/20,138,No,No
185,5419,Manganese,171 ppb,171 ppb,50 ppb,50 ppb,98387,"GIG HARBOR, WA",Forest Park Water System,"Maximum contaminant level, Monthly (Coliform bacteria)",2007/05/01 - 2007/05/31,120,Yes,Yes
186,5422,Manganese,250 ppb,250 ppb,50 ppb,50 ppb,98387,"EAST OLYMPIA, WA",Riverside Villa,Follow-up and Routine Tap Sampling,2006/01/01 - 2006/12/31,120,Yes,Yes
187,5424,Arsenic (total),7 ppb,7 ppb,. Source,10 ppb,98387,"GIG HARBOR, WA",Driftwood Point Water System,Failure to monitor regularlyDiquat,2005/01/01 - 2007/12/31,113,Yes,No
188,5433,Manganese,100 ppb,100 ppb,50 ppb,50 ppb,98387,"ORTING, WA",Washington Soldiers Home Colony,Failure to report information to the public or state agency in the Consumer Confidence Report,2007/07/01 - 2007/08/23,100,Yes,Yes
189,5443,Lead (total),0.4 ppb,0.4 ppb,. Source,,98387,"UNIVERSITY PLACE, WA",Sunrise Terrace Community Llc,"Failure to monitor, Routine Major (Coliform bacteria)",2007/05/01 - 2007/05/31,86,Yes,No
190,5458,Arsenic (total),2 ppb,2 ppb,. Source,10 ppb,98387,"TACOMA, WA",Southcreek #1,Failure to report information to the public or state agency in the Consumer Confidence Report,2007/07/01 - 2007/08/20,73,Yes,No
191,5468,Manganese,30 ppb,30 ppb,50 ppb,50 ppb,98387,"MCKENNA, WA",Little Lake Mobile Home Park,"Maximum contaminant level, Monthly (Coliform bacteria)",2006/03/01 - 2006/03/31,65,No,No
192,5471,Nitrate & nitrite,4.73 ppm,4.8 ppm,10 ppm,10 ppm,98387,"SPANAWAY, WA",MC Gee Guest Home,Follow-up and Routine Tap Sampling,2006/01/01 - 2006/12/31,64,No,No
193,5484,Copper,249.17 ppb,498.33 ppb,300 ppb,1000 ppb,98387,"TACOMA, WA",Ryanwood,Failure to report information to the public or state agency in the Consumer Confidence Report,2007/07/01 - 2007/08/20,55,Yes,No
194,5486,Arsenic (total),9 ppb,9 ppb,. Source,10 ppb,98387,"TACOMA, WA",Henderson Bay Water System,Failure to report information to the public or state agency in the Consumer Confidence Report,2007/07/01 - 2007/08/20,55,Yes,No
195,5490,Nitrate & nitrite,1.67 ppm,2.6 ppm,10 ppm,10 ppm,98387,"EDGEWOOD, WA",Dechaux Mutual Water,Failure to report information to the public or state agency in the Consumer Confidence Report,2007/07/01 - 2007/12/31,53,No,No
196,5491,Manganese,162 ppb,162 ppb,50 ppb,50 ppb,98387,"GIG HARBOR, WA",Whiteman Cove Water District,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/04/01 - 2004/04/30,53,Yes,Yes
197,5494,Lead (total),2 ppb,2 ppb,. Source,,98387,"SPANAWAY, WA",South Shady Acres Water,"Maximum contaminant level, Monthly (Coliform bacteria)",2007/01/01 - 2007/01/31,50,Yes,No
198,5497,Bromodichloromethane,2.8 ppb,2.8 ppb,. Source,80 ppb,98387,"BUCKLEY, WA",Mountain View Trailer Park,"Maximum contaminant level, Monthly (Coliform bacteria)",2008/05/01 - 2008/05/31,50,Yes,No
199,5503,Lead (total),0.33 ppb,1 ppb,. Source,,98387,"GIG HARBOR, WA",Lawrence Road,"Maximum contaminant level, Monthly (Coliform bacteria)",2007/03/01 - 2007/03/31,47,Yes,No
200,5520,Bromodichloromethane,1.35 ppb,1.6 ppb,. Source,80 ppb,98387,"SPANAWAY, WA",Little Cedar Park,Follow-up and Routine Tap Sampling,2007/01/01 - 2007/12/31,38,Yes,No
201,5521,Copper,161.67 ppb,530 ppb,300 ppb,1000 ppb,98387,"GIG HARBOR, WA",Henderson Park Dev Company,"Maximum contaminant level, Monthly (Coliform bacteria)",2006/05/01 - 2006/05/31,38,Yes,No
202,5522,Nitrate & nitrite,0.04 ppm,0.15 ppm,10 ppm,10 ppm,98387,"EATONVILLE, WA",Country Meadows East Water Sys #2,Failure to report information to the public or state agency in the Consumer Confidence Report,2007/07/01 - 2008/06/12,38,No,No
203,5532,Copper,116.79 ppb,143.57 ppb,300 ppb,1000 ppb,41094,"WALTON, KY",Walton Waterworks Department,Inadequate reporting of information to the public,2005/10/27 - 2006/07/13,4389,No,No
204,5533,Foaming agents (surfactants),905 ppb,1810 ppb,500 ppb,500 ppb,41094,"EDGEWOOD, KY",Arlinghaus Property,Inadequate reporting of information to the public,2005/10/27 - 2006/07/11,36,Yes,Yes
205,5535,Manganese,143.5 ppb,147 ppb,50 ppb,50 ppb,41094,"PETERSBURG, KY",Birkle Water Supply,Inadequate reporting of information to the public,2005/10/27 - 2006/07/12,25,Yes,Yes
206,5536,Total haloacetic acids (HAAs),15.67 ppb,21 ppb,0.7 ppb,60 ppb,41094,"FLORENCE, KY",Boone-Florence Water Commission,Failure to report information to the public or state agency in the Consumer Confidence Report,2006/07/01 - 2007/06/28,25,Yes,No
207,5538,Total haloacetic acids (HAAs),22.5 ppb,80 ppb,0.7 ppb,60 ppb,28716,"MAGGIE VALLEY, NC",Maggie Valley Sanitary Dist,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2004/10/04,8890,Yes,Yes
208,5545,Copper,422.96 ppb,511 ppb,300 ppb,1000 ppb,28716,"CANTON, NC",Springdale Est/Royal Oaks Inc,Other Non-National Primary Drinking Water Regulations Potential Health Risks,2005/04/02 - 2025/12/31,183,Yes,No
209,5546,Combined Radium (-226 & -228),0.25 pCi/L,1 pCi/L,. Source,5 pCi,28716,"WAYNESVILLE, NC",Green Valley Mhp,Other Non-National Primary Drinking Water Regulations Potential Health Risks,2004/01/18 - 2025/12/31,110,Yes,No
210,5562,Arsenic (total),2.75 ppb,5.5 ppb,. Source,10 ppb,89132,"INDIAN SPRINGS, NV",Indian Springs Water Co Inc,"Maximum contaminant level, Monthly (Coliform bacteria)",2006/05/01 - 2006/05/31,900,Yes,No
211,5592,Alpha particle activity (excl radon and uranium),0.5 pCi/L,0.5 pCi/L,. Source,15 pCi,89132,"LAS VEGAS, NV",Palm Gardens Water Co Op,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2007/03/15,60,Yes,No
212,5600,Total haloacetic acids (HAAs),1.29 ppb,3.51 ppb,0.7 ppb,60 ppb,32564,"CRESTVIEW, FL",City of Crestview Water Dept.,"Maximum contaminant level, Acute (Coliform bacteria)",2004/07/01 - 2004/07/31,29505,Yes,No
213,5601,Total haloacetic acids (HAAs),3.27 ppb,7.46 ppb,0.7 ppb,60 ppb,32564,"DESTIN, FL",Destin Water Users Inc.,"Failure to monitor, Repeat Minor (Coliform bacteria)",2008/09/01 - 2008/09/30,28717,Yes,No
214,5604,Total haloacetic acids (HAAs),1.69 ppb,8.09 ppb,0.7 ppb,60 ppb,32564,"NICEVILLE, FL",City of Niceville,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/02/01 - 2004/02/29,18389,Yes,No
215,5607,Total trihalomethanes (TTHMs),24.98 ppb,49.7 ppb,9.8 ppb,80 ppb,32564,"HURLBURT FIELD, FL",Hurlburt Field Afb Water Sys.,"Maximum contaminant level, Monthly (Coliform bacteria)",2008/07/01 - 2008/07/31,9036,Yes,No
216,5610,Total haloacetic acids (HAAs),2.98 ppb,5.6 ppb,0.7 ppb,60 ppb,32564,"VALPARAISO, FL",City of Valparaiso,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/11/01 - 2004/11/30,6534,Yes,No
